IRIS_ID	NAME	Variety_Name_verif	COUNTRY	REGION	K9_cluster	Initial_subpop
CX282	LIJIANGXINTUANHEIGU	Lijiangxintuanheigu	China	As6	GJ-adm	japx
CX284	HAN_502	Han_502	China	As6	GJ-adm	japx
CX285	NONGLINNUO	Nonglinnuo_	China	As6	GJ-trp	trop
CX286	C349	C349	China	As6	admix	admix
CX287	C52	C52	China	As6	GJ-tmp	temp
CX288	D11	D11	China	As6	XI-adm	indx
CX29	MILYANG23	Milyang23	NorthKorea	As7	admix	admix
CX290	DUO_57	Duo_57	China	As6	XI-1B	ind1B
CX291	D15	D15	China	As6	XI-adm	indx
CX296	IR74	IR74	Philippines	As5	XI-adm	indx
CX3	BR24	BR24	Bangladesh	As2c	XI-1A	ind1A
CX30	MR185	MR185	Malaysia	As4	XI-1B	ind1B
CX303	LX2007	LX2007	China	As6	XI-adm	indx
CX304	LUYIN_46	Luyin_46	China	As6	XI-adm	indx
CX305	ZH5	ZH5	China	As6	XI-1B	ind1B
CX306	MONGOLIA_RICE	Mongolia_Rice_	China	As6	GJ-tmp	temp
CX307	HP121	HP121	China	As6	GJ-adm	japx
CX31	HNANKAR	Hnankar	Myanmar	As3	XI-1B	ind1B
CX313	R106	R106	China	As6	XI-adm	indx
CX314	117	117	China	As6	XI-1B	ind1B
CX315	ZIDAO	Zidao	NorthKorea	As7	GJ-tmp	temp
CX316	MR39	MR39	China	As6	admix	admix
CX317	MR19	MR19	China	As6	GJ-tmp	temp
CX318	HEIHEAIHUI	Heiheaihui_	China	As6	XI-adm	indx
CX319	MENGGUANDAMAGU	Mengguandamagu	China	As6	XI-adm	indx
CX32	MANAUTHUKHA	Manauthukha	Myanmar	As3	GJ-adm	japx
CX328	BAOXUAN_21_B	Baoxuan_21	China	As6	XI-1A	ind1A
CX329	JINCHUANYIHAO	Jinchuanyihao	China	As6	GJ-tmp	temp
CX33	SHWE_THWE_YIN_HYV	Shwe_Thwe_Yin_Hyv	Myanmar	As3	XI-1B	ind1B
CX330	YUEGUANG	Yueguang	Japan	As7	GJ-tmp	temp
CX34	BG_300	Bg__300	SriLanka	As2	XI-adm	indx
CX340	HUA_564	Hua_564	China	As6	XI-1B	ind1B
CX341	HUA_565	Hua_565	China	As6	XI-adm	indx
CX342	WANXIAN_763	Wanxian_763	China	As6	XI-adm	indx
CX343	WANXIAN_77	Wanxian_77	China	As6	XI-adm	indx
CX344	HEXI_41	Hexi_41	China	As6	GJ-tmp	temp
CX345	YUNGENG_23	Yungeng_23	China	As6	GJ-tmp	temp
CX346	SAGC－4	SAGC－4	China	As6	XI-adm	indx
CX347	SAGC－7	SAGC－7	China	As6	XI-adm	indx
CX348	ZHONGHUA_1	Zhonghua_1__	China	As6	XI-1B	ind1B
CX349	KCD1	KCD1	0	0	XI-adm	indx
CX35	BG_94-1	Bg_94-1	SriLanka	As2	XI-adm	indx
CX350	WUYUGENG_20	Wuyugeng_20_	China	As6	GJ-tmp	temp
CX351	053A-3	053A-3	China	As6	GJ-tmp	temp
CX352	BD007	BD007	China	As6	GJ-trp	trop
CX353	CAU1	CAU1	China	As6	GJ-adm	japx
CX354	CAU2	CAU2	China	As6	GJ-adm	japx
CX355	YUNLU_102	Yunlu_102	China	As6	GJ-trp	trop
CX356	YANDAO_8	Yandao_8__	China	As6	GJ-tmp	temp
CX357	PSBRC80	PSBRC80	Philippines	As5	XI-1B	ind1B
CX358	PSBRC82	PSBRC82	Philippines	As5	XI-1B	ind1B
CX359	YUNLU_103	Yunlu_103	China	As6	GJ-trp	trop
CX360	Y075	Y075	0	0	XI-1B	ind1B
CX361	G341	G341	0	0	XI-1B	ind1B
CX362	YZX1	YZX1	0	0	XI-1B	ind1B
CX363	YZX2	YZX2	0	0	XI-adm	indx
CX364	42686	42686	0	0	XI-1B	ind1B
CX365	COMPACT_PLANT_TYPE_MATERIAL	Compact_Plant_Type_Material	China	As6	admix	admix
CX366	GANWANXIAN_37_(926)	Ganwanxian_37（926）	China	As6	XI-adm	indx
CX367	HAOGELAO	Haogelao	China	As6	GJ-trp	trop
CX368	N22	N22	India	As2a	cA_(Aus)	aus
CX369	IRBB62	IRBB62	Philippines	As5	XI-1B	ind1B
CX37	OM997	OM997	Vietnam	As4	XI-1B	ind1B
CX370	CHENGHUI_727	Chenghui_727	China	As6	XI-1B	ind1B
CX371	NERICA_1	NERICA_1	Africa	Af0	GJ-trp	trop
CX372	NERICA_2	NERICA_2	Africa	Af0	GJ-trp	trop
CX373	NERICA_8	NERICA_8	Africa	Af0	GJ-trp	trop
CX374	NERICA_9	NERICA_9	Africa	Af0	GJ-trp	trop
CX375	NERICA-L-1	NERICA-L-1	Africa	Af0	XI-1B	ind1B
CX376	NERICA-L-20	NERICA-L-20	Africa	Af0	XI-1B	ind1B
CX377	NERICA-L-27	NERICA-L-27	Africa	Af0	XI-1B	ind1B
CX378	HUHAN_15	Huhan_15	China	As6	XI-1B	ind1B
CX379	NIONOKA	Nionoka	Mali	Af1	XI-1B	ind1B
CX380	YANDAO_9	Yandao_9	China	As6	GJ-tmp	temp
CX381	ADNY_11	Adny_11	0	0	XI-1B	ind1B
CX382	KOGOMG_1-1	Kogomg_1-1	0	0	XI-1B	ind1B
CX383	HONGZA	Hongza_	China	As6	GJ-tmp	temp
CX384	FENGZA	Fengza	China	As6	GJ-tmp	temp
CX385	NPT-100	NPT-100	China	As6	XI-1B	ind1B
CX386	NPT-114	NPT-114	China	As6	XI-adm	indx
CX387	1088	1088	0	0	XI-1B	ind1B
CX388	KR200	KR200	Thailand	As4	XI-1B	ind1B
CX389	JINYUAN_85	Jinyuan_85	China	As6	GJ-tmp	temp
CX390	YUELIANGGU	Yuelianggu	China	As6	XI-adm	indx
CX391	YJ30	YJ30	China	As6	GJ-tmp	temp
CX392	SARD	SARD	0	0	XI-adm	indx
CX393	HUANGSIZHAN	Huangsizhan_	China	As6	XI-1B	ind1B
CX394	MOLIZHANXUAN	Molizhanxuan	China	As6	XI-1B	ind1B
CX395	YSBR1	YSBR1	China	As6	admix	admix
CX396	GUANDONG_194_(SOFT_RICE)	Guandong_194（Soft_Rice）	Japan	As7	GJ-tmp	temp
CX397	NANGENG_46_(SOFT_RICE)	Nangeng_46（Soft_Rice）	China	As6	GJ-tmp	temp
CX399	MATATAG2	Matatag2	Philippines	As5	XI-1B	ind1B
CX4	93072	93072	China	As6	XI-adm	indx
CX400	TOG5674	Tog5674	Africa	Af0	admix	admix
CX401	TOG7291	Tog7291	Africa	Af0	XI-adm	indx
CX402	TOG6542	Tog6542	Africa	Af0	admix	admix
CX403	IR64A	IR64a	Philippines	As5	XI-1B	ind1B
CX408	CX408	#N/A	#N/A	#N/A	XI-1B	ind1B
CX409	CX409	#N/A	#N/A	#N/A	XI-1B	ind1B
CX410	CX410	#N/A	#N/A	#N/A	XI-1B	ind1B
CX411	CX411	#N/A	#N/A	#N/A	XI-1B	ind1B
CX413	CX413	#N/A	#N/A	#N/A	XI-1B	ind1B
CX414	CX414	#N/A	#N/A	#N/A	XI-1B	ind1B
CX416	CX416	#N/A	#N/A	#N/A	XI-1B	ind1B
CX417	CX417	#N/A	#N/A	#N/A	XI-1B	ind1B
CX418	CX418	#N/A	#N/A	#N/A	XI-1B	ind1B
CX419	CX419	#N/A	#N/A	#N/A	XI-1B	ind1B
CX42	IR68552-55-3-2	IR68552-55-3-2	Philippines	As5	XI-adm	indx
CX420	CX420	#N/A	#N/A	#N/A	XI-1B	ind1B
CX421	CX421	#N/A	#N/A	#N/A	XI-1B	ind1B
CX422	CX422	#N/A	#N/A	#N/A	XI-1B	ind1B
CX423	CX423	#N/A	#N/A	#N/A	XI-1B	ind1B
CX424	CX424	#N/A	#N/A	#N/A	XI-1B	ind1B
CX425	CX425	#N/A	#N/A	#N/A	XI-1B	ind1B
CX426	CX426	#N/A	#N/A	#N/A	XI-1B	ind1B
CX427	CX427	#N/A	#N/A	#N/A	GJ-tmp	temp
CX428	CX428	#N/A	#N/A	#N/A	GJ-tmp	temp
CX429	CX429	#N/A	#N/A	#N/A	GJ-tmp	temp
CX43	IR66897B	IR66897B	Philippines	As5	XI-1B	ind1B
CX431	DUOXI_1	Duoxi_1_	China	As6	XI-adm	indx
CX44	IR58025B	IR58025B	Philippines	As5	XI-1B	ind1B
CX45	DHAN4	Dhan4	India	As2a	XI-1B	ind1B
CX46	PUSA(BASMATI_1)	Pusa(Basmati_1)	India	As2a	admix	admix
CX47	DIANGENG	Diangeng_	China	As6	GJ-tmp	temp
CX48	PT60	PT60	China	As6	XI-adm	indx
CX49	NAN-29-2	NAN-29-2	China	As6	GJ-tmp	temp
CX5	108S	108S	China	As6	XI-adm	indx
CX50	AI_ZI_DAO	Ai_Zi_DAO	China	As6	XI-1B	ind1B
CX51	BABAOMI	Babaomi	China	As6	XI-adm	indx
CX52	DIANDUN_502	Diandun_502	China	As6	XI-adm	indx
CX53	JIANGXISIMIAO	Jiangxisimiao	China	As6	XI-adm	indx
CX534	TONGNIAN_1	Tongnian_1	China	As6	GJ-tmp	temp
CX54	LINYITANGDAO	Linyitangdao	China	As6	XI-adm	indx
CX542	RR2-6	RR2-6	China	As6	XI-adm	indx
CX548	ZHONGJIAN_100	Zhongjian_100	China	As6	XI-adm	indx
CX55	PENGSHANTIEGANZHAN	Pengshantieganzhan_	China	As6	XI-1A	ind1A
CX56	YUNGUANG_8	Yunguang_8	China	As6	GJ-tmp	temp
CX561	CX561	#N/A	#N/A	#N/A	XI-1B	ind1B
CX57	ZHONGCHAO_123	Zhongchao_123	China	As6	GJ-tmp	temp
CX578	CX578	#N/A	#N/A	#N/A	GJ-tmp	temp
CX579	CX579	#N/A	#N/A	#N/A	admix	admix
CX58	GIZA159	Giza159	Egypt	AfN	GJ-tmp	temp
CX59	MILAGROSA,_ZAWA_BANDAY	Milagrosa,_Zawa_Banday	Philippines	As5	cB_(Bas)	aro
CX6	C418	C418	China	As6	admix	admix
CX60	BASMATI	Basmati	India	As2a	XI-1B	ind1B
CX61	BHAVANI	Bhavani	India	As2a	XI-1A	ind1A
CX63	JHONA_349	Jhona_349_	India	As2a	cA_(Aus)	aus
CX64	IRAT_352	IRAT_352	Philippines	As5	XI-3	ind3
CX65	DOMSIAH	Domsiah	Iran	As1	cB_(Bas)	aro
CX66	TAROM_MOLAII	Tarom__molaii	Iran	As1	cB_(Bas)	aro
CX67	BINAM	Binam	Iran	As1	cB_(Bas)	aro
CX68	MR106	MR106	Malaysia	As4	XI-adm	indx
CX69	MR167	MR167	Malaysia	As4	XI-adm	indx
CX70	MR77(SEBERANG_)	MR77(Seberang_)	Malaysia	As4	XI-adm	indx
CX71	INNMAYEBAW	Innmayebaw	Malaysia	As4	XI-3	ind3
CX72	BASMATI_385	Basmati_385	Pakistan	As1	cB_(Bas)	aro
CX73	IR6	IR6	Philippines	As5	XI-1B	ind1B
CX74	JP-5	JP-5	Pakistan	As1	GJ-tmp	temp
CX75	AT354	At354	SriLanka	As2	XI-adm	indx
CX76	BG304	BG304	SriLanka	As2	XI-1B	ind1B
CX77	LEMONT	Lemont	UnitedStates	Am	GJ-trp	trop
CX78	M401	M401	UnitedStates	Am	GJ-tmp	temp
CX79	CS94	Cs94	Vietnam	As4	XI-1B	ind1B
CX8	CHENGHUI_448	Chenghui_448	China	As6	XI-adm	indx
CX80	OM1706	OM1706	Vietnam	As4	XI-1B	ind1B
CX82	X21	X21	Vietnam	As4	XI-1B	ind1B
CX83	X22	X22	Vietnam	As4	XI-1B	ind1B
CX84	X23	X23	Vietnam	As4	XI-adm	indx
CX85	C71	C71	Vietnam	As4	XI-adm	indx
CX86	C70	C70	Vietnam	As4	XI-adm	indx
CX87	Q5	Q5	Vietnam	As4	XI-adm	indx
CX88	HUANYANGNIAN	Huanyangnian	China	As6	XI-1A	ind1A
CX89	M202	M202	UnitedStates	Am	XI-adm	indx
CX9	FENGAIZHAN	Fengaizhan	China	As6	XI-1B	ind1B
CX90	CHHOMROMG	Chhomromg	Nepal	As2b	XI-1B	ind1B
CX91	GOVIND	Govind	india	As2a	XI-1B	ind1B
CX92	UPR_191-66	UPR_191-66	india	As2a	XI-1B	ind1B
CX93	TGMS29	TGMS29	india	As2a	XI-adm	indx
CX94	SWARNA	Swarna	india	As2a	XI-adm	indx
CX96	AJAYA	Ajaya	india	As2a	XI-1B	ind1B
CX97	BUDDA	Budda	india	As2a	XI-1B	ind1B
CX98	DODDABYRANELLA	Doddabyranella	india	As2a	XI-2	ind2
CX99	DODDI	Doddi	india	As2a	XI-2	ind2
IRIS_313-10000	SUWEON_311	SUWEON_311	SouthKorea	As7	XI-1B	ind1B
IRIS_313-10001	C_662083	C_662083	Taiwan	As6	XI-1B	ind1B
IRIS_313-10002	BW_295-5	BW295-5	SriLanka	As2	XI-1B	ind1B
IRIS_313-10007	GARURA	GARURA	Nepal	As2b	XI-adm	indx
IRIS_313-10010	LALKA_(LAL_DHAN)	LALKA(LAL_DHAN)	#N/A	#N/A	XI-2	ind2
IRIS_313-10014	SANT_ANDREA	SANT_ANDREA	Italy	Eu	GJ-tmp	temp
IRIS_313-10016	BOHOTO_BALOOCHESTAN	BOHOTO_BALOOCHESTAN	Iran	As1	XI-adm	indx
IRIS_313-10020	HODARAWALA	HODARAWALA	SriLanka	As2	cA_(Aus)	aus
IRIS_313-10025	KALAPATLE	KALAPATLE	Madagascar	Mad	admix	admix
IRIS_313-10026	KITRANA_1007	KITRANA_1007	Madagascar	Mad	XI-2	ind2
IRIS_313-10030	NS_252	NS252	Madagascar	Mad	XI-2	ind2
IRIS_313-10032	NS_1576	NS1576	Madagascar	Mad	cB_(Bas)	aro
IRIS_313-10034	RIZ_INDETERMINE	RIZ_INDETERMINE	Niger	Af1	XI-adm	indx
IRIS_313-10035	RIZ_TYPE_SORGHO	RIZ_TYPE_SORGHO	Madagascar	Mad	XI-2	ind2
IRIS_313-10040	MILYANG_77	MILYANG_77	SouthKorea	As7	XI-1B	ind1B
IRIS_313-10041	BOTOHAVANA_MENA	BOTOHAVANA_MENA	Madagascar	Mad	GJ-trp	trop
IRIS_313-10045	BANTA_TIMA	BANTA_TIMA	Gambia	Af1	XI-adm	indx
IRIS_313-10046	CHAMA_(DWARF)	CHAMA(DWARF)	Zambia	Af3	XI-1B	ind1B
IRIS_313-10047	EX_MARABA_GURUKU	EX_MARABA-GURUKU	Nigeria	Af1	XI-1A	ind1A
IRIS_313-10048	MOVE_(MOKOLE)	MOVE(MOKOLE)	Benin	Af1	XI-adm	indx
IRIS_313-10050	TSIMATAHOPAOSA	TSIMATAHOPAOSA	Madagascar	Mad	XI-adm	indx
IRIS_313-10051	TSIVIMBININA	TSIVIMBININA	Madagascar	Mad	GJ-trp	trop
IRIS_313-10054	TOC_5430	TOC-5430	Panama	Am	XI-adm	indx
IRIS_313-10056	HOKURIKU_52	HOKURIKU_52	Japan	As7	GJ-sbtrp	subtrop
IRIS_313-10057	CHUGOKU_68_HEN	CHUGOKU_68_HEN	Japan	As7	GJ-tmp	temp
IRIS_313-10059	DACHEONGBYEO	DACHEONGBYEO	SouthKorea	As7	GJ-tmp	temp
IRIS_313-10061	ESTRELA_A	ESTRELA_A	Portugal	Eu	GJ-adm	japx
IRIS_313-10062	REA	REA	Greece	Eu	GJ-trp	trop
IRIS_313-10065	JAERAERYUKDO	JAERAERYUKDO	SouthKorea	As7	GJ-trp	trop
IRIS_313-10067	JEONBUKGUNGWEONNA	JEONBUKGUNGWEONNA	SouthKorea	As7	GJ-trp	trop
IRIS_313-10071	CHIYODA_WASE	CHIYODA_WASE	Japan	As7	GJ-trp	trop
IRIS_313-10073	OWARI_MOCHI	OWARI_MOCHI	Japan	As7	GJ-trp	trop
IRIS_313-10074	RIKU_AIKOKU	RIKU_AIKOKU	Japan	As7	GJ-trp	trop
IRIS_313-10075	SANGOKU	SANGOKU	Japan	As7	GJ-trp	trop
IRIS_313-10076	SHINA_MOCHI	SHINA_MOCHI	Japan	As7	GJ-trp	trop
IRIS_313-10077	TAMASHIRO_HIKARI	TAMASHIRO_HIKARI	Japan	As7	XI-adm	indx
IRIS_313-10078	YOSHINO_MOCHI	YOSHINO_MOCHI	Japan	As7	GJ-trp	trop
IRIS_313-10079	DANGO_MOCHI	DANGO_MOCHI	Japan	As7	GJ-trp	trop
IRIS_313-10080	HIRAKAWA_OKUTE	HIRAKAWA_OKUTE	Japan	As7	GJ-trp	trop
IRIS_313-10082	KYUUSHUU	KYUUSHUU	Japan	As7	GJ-trp	trop
IRIS_313-10083	BETIS	BETIS	Spain	Eu	GJ-tmp	temp
IRIS_313-10084	SENIA	SENIA	Spain	Eu	GJ-tmp	temp
IRIS_313-10089	KALIN	KALIN	Bulgaria	Eu	GJ-tmp	temp
IRIS_313-10092	CHALBYEO	CHALBYEO	SouthKorea	As7	GJ-tmp	temp
IRIS_313-10093	CHEONJUDO	CHEONJUDO	SouthKorea	As7	GJ-tmp	temp
IRIS_313-10094	GAWICHAL	GAWICHAL	SouthKorea	As7	GJ-trp	trop
IRIS_313-10096	JOKJEBICHAL	JOKJEBICHAL	SouthKorea	As7	GJ-adm	japx
IRIS_313-10097	MAEKJO	MAEKJO	SouthKorea	As7	GJ-tmp	temp
IRIS_313-10099	MANONGAZATO	MANONGAZATO	Madagascar	Mad	GJ-trp	trop
IRIS_313-10102	KELIRENY	KELIRENY	Madagascar	Mad	XI-2	ind2
IRIS_313-10103	DALSUNG_41	DALSUNG_41	SouthKorea	As7	XI-adm	indx
IRIS_313-10109	EX_EBOKOZURU	EX_EBOKOZURU	Nigeria	Af1	XI-3	ind3
IRIS_313-10111	MOLO	MOLO	Italy	Eu	GJ-adm	japx
IRIS_313-10113	EX_FOILAEIN_(NAPUTO)	EX_FOILAEIN(NAPUTO)	Mozambique	Af3	XI-adm	indx
IRIS_313-10114	FACAGRO_64	FACAGRO_64	Burundi	Af3	XI-2	ind2
IRIS_313-10119	GITANO	GITANO	Italy	Eu	GJ-adm	japx
IRIS_313-10124	GALSAEGSSAL_SHAREI	GALSAEGSSAL_SHAREI	SouthKorea	As7	GJ-tmp	temp
IRIS_313-10129	SAN_SHIH_TSI	SAN_SHIH_TSI	China	As6	XI-1A	ind1A
IRIS_313-10134	PIN_GAEW_56	PIN_GAEW_56	Thailand	As4	XI-3	ind3
IRIS_313-10147	RD_19	RD19	Thailand	As4	XI-3	ind3
IRIS_313-10148	CAUVERY	CAUVERY	India	As2a	XI-adm	indx
IRIS_313-10150	N_22	N_22	India	As2a	cA_(Aus)	aus
IRIS_313-10151	RD_15	RD15	Thailand	As4	XI-3	ind3
IRIS_313-10152	KETAN_MENAH	KETAN_MENAH	Indonesia	As5	GJ-trp	trop
IRIS_313-10154	HE_GU_TSAO	HE-GU-TSAO	China	As6	XI-1A	ind1A
IRIS_313-10158	PICO_NEGRO	PICO_NEGRO	Ecuador	Am	XI-adm	indx
IRIS_313-10161	BR_IRGA_409	BR-IRGA-409	Brazil	Am	XI-1B	ind1B
IRIS_313-10164	HAN_NUO	HAN_NUO	China	As6	GJ-tmp	temp
IRIS_313-10167	IR_13429-109-2-2-1	IR_56	Philippines	As5	XI-adm	indx
IRIS_313-10168	MEI_FENG_9	MEI_FENG_9	China	As6	XI-adm	indx
IRIS_313-10170	MIN_ZAO_6	MIN_ZAO_6	China	As6	XI-1A	ind1A
IRIS_313-10171	YA_NONG_ZAO_4	YA_NONG_ZAO_4	China	As6	XI-1A	ind1A
IRIS_313-10176	NAM_ROO	NAM_ROO	Thailand	As4	GJ-sbtrp	subtrop
IRIS_313-10177	DA_GANG_ZHAN	DA_GANG_ZHAN	China	As6	XI-adm	indx
IRIS_313-10178	GAO_JIAO_BAI	GAO_JIAO_BAI	China	As6	XI-1A	ind1A
IRIS_313-10179	GUI_HUA_ZAO	GUI_HUA_ZAO	China	As6	XI-adm	indx
IRIS_313-10189	DA_NUO_(ZHAN)	DA_NUO(ZHAN)	China	As6	XI-1A	ind1A
IRIS_313-10190	DENG_DENG_QI	DENG_DENG_QI	China	As6	XI-1A	ind1A
IRIS_313-10191	MIN_KE_ZHAN	MIN_KE_ZHAN	China	As6	XI-1A	ind1A
IRIS_313-10196	GUO_DI_HEI	GUO_DI_HEI	China	As6	GJ-trp	trop
IRIS_313-10211	BAI_HE	BAI_HE	China	As6	XI-1A	ind1A
IRIS_313-10220	EPEAL_102	EPEAL_102	Brazil	Am	XI-adm	indx
IRIS_313-10221	BA_BAI_GU	BA_BAI_GU	China	As6	XI-adm	indx
IRIS_313-10224	HUA_LI_ZAO	HUA_LI_ZAO	China	As6	XI-1A	ind1A
IRIS_313-10226	TONG_GU_HONG	TONG_GU_HONG	China	As6	XI-adm	indx
IRIS_313-10228	HAN_NUO	HAN_NUO	China	As6	GJ-tmp	temp
IRIS_313-10234	PSBRC_50	PSBRC50	Philippines	As5	XI-1B	ind1B
IRIS_313-10235	PSBRC_68	PSBRC68	Philippines	As5	XI-adm	indx
IRIS_313-10237	PSBRC_86	PSBRC86	Philippines	As5	XI-1B	ind1B
IRIS_313-10238	PSBRC_88	PSBRC88	Philippines	As5	XI-1B	ind1B
IRIS_313-10239	LIU_XU	LIU_XU	China	As6	XI-adm	indx
IRIS_313-10242	H_305-84	H_305-84	Hungary	Eu	GJ-tmp	temp
IRIS_313-10247	AMISTAD_82	AMISTAD_82	Cuba	Am	XI-1B	ind1B
IRIS_313-10257	ALTAMIRA_9	ALTAMIRA_9	Nicaragua	Am	XI-adm	indx
IRIS_313-10258	BULI_INIA	BULI_INIA	Chile	Am	GJ-tmp	temp
IRIS_313-10260	CEA_3	CEA_3	Paraguay	Am	XI-adm	indx
IRIS_313-10263	CUYAMEL_3820	CUYAMEL_3820	Mexico	Am	XI-adm	indx
IRIS_313-10268	FONAIAP_2	FONAIAP_2	Venezuela	Am	XI-adm	indx
IRIS_313-10271	IA_CUBA_17	IA_CUBA_17	Cuba	Am	XI-adm	indx
IRIS_313-10272	COLOMBIA_1	COLOMBIA_1	Colombia	Am	GJ-adm	japx
IRIS_313-10274	ICTA_CRISPO_38	ICTA_CRISPO_38	Guatemala	Am	XI-1B	ind1B
IRIS_313-10275	ICTA_MOTAGUA	ICTA_MOTAGUA	Guatemala	Am	XI-adm	indx
IRIS_313-10279	JUMA_62	JUMA_62	DominicanRepublic	Am	XI-adm	indx
IRIS_313-10285	SICAN	SICAN	Peru	Am	XI-adm	indx
IRIS_313-10287	UQUIHUA	UQUIHUA	Peru	Am	XI-1B	ind1B
IRIS_313-10289	ARAURE_1	ARAURE_1	Venezuela	Am	XI-1B	ind1B
IRIS_313-10290	ELONI	ELONI	Suriname	Am	XI-1B	ind1B
IRIS_313-10293	ECIA_24-107-1	ECIA_24-107-1	Cuba	Am	XI-1B	ind1B
IRIS_313-10294	IR_21015-72-3-3-3-1	IR_21015-72-3-3-3-1	Philippines	As5	XI-adm	indx
IRIS_313-10295	PDR_34-2-1-2	PDR_34-2-1-2	Pakistan	As1	admix	admix
IRIS_313-10298	3210	3210	SriLanka	As2	XI-1B	ind1B
IRIS_313-10300	CT_9506-18-7-1T-2	CT_9506-18-7-1T-2	Colombia	Am	XI-adm	indx
IRIS_313-10301	IRGA_959-1-2-2F-4-1-4A-6-CA-6X	IRGA_959-1-2-2F-4-1-4A-6-CA-6X	Brazil	Am	XI-adm	indx
IRIS_313-10307	INIAP_6	INIAP_6	Ecuador	Am	XI-adm	indx
IRIS_313-10314	INIAP_10	INIAP_10	Ecuador	Am	XI-adm	indx
IRIS_313-10318	RUSTIC	RUSTIC	Guyana	Am	XI-adm	indx
IRIS_313-10325	CAMPONI	CAMPONI	Suriname	Am	XI-adm	indx
IRIS_313-10327	CAROLINO_BLANCO	CAROLINO_BLANCO	Peru	Am	GJ-trp	trop
IRIS_313-10332	B_4414_F-MR-6-3	B_4414_F-MR-6-3	Indonesia	As5	XI-adm	indx
IRIS_313-10333	B_6136-3-TB-0-1-5	B_6136-3-TB-0-1-5	Indonesia	As5	XI-1B	ind1B
IRIS_313-10334	B_6136_E-3-TB-0-1-5	B_6136_E-3-TB-0-1-5	Indonesia	As5	XI-1B	ind1B
IRIS_313-10336	B_6144-MR-6-0-0	B_6144-MR-6-0-0	Laos	As4	GJ-trp	trop
IRIS_313-10337	B_6149_F-MR-7	B_6149_F-MR-7	Indonesia	As5	XI-adm	indx
IRIS_313-10340	BR_4973-34-6-6	BR_4973-34-6-6	Bangladesh	As2c	XI-adm	indx
IRIS_313-10341	BR_5230-46-4	BR_5230-46-4	Bangladesh	As2c	XI-adm	indx
IRIS_313-10348	CSR-89_IR-15	CSR-89_IR-15	India	As2a	XI-adm	indx
IRIS_313-10349	CSR-90_IR-2	CSR-90_IR-2	India	As2a	XI-adm	indx
IRIS_313-10352	CT_9737-6-1-1-2-2P-M	CT_9737-6-1-1-2-2P-M	Colombia	Am	XI-adm	indx
IRIS_313-10353	HP_3319-2WX-6-4-1-B	HP_3319-2WX-6-4-1-B	SouthKorea	As7	XI-adm	indx
IRIS_313-10355	IR_31142-14-1-1-3-1-1-2	IR_31142-14-1-1-3-1-1-2	Philippines	As5	XI-adm	indx
IRIS_313-10357	IR_52718-B-B-6-B-B-1-1	IR_52718-B-B-6-B-B-1-1	Philippines	As5	XI-adm	indx
IRIS_313-10359	IR_53650-2B-10-1-2-1	IR_53650-2B-10-1-2-1	Philippines	As5	XI-adm	indx
IRIS_313-10360	IR_57514-PMI_5-B-1-2	IR_57514-PMI_5-B-1-2	Philippines	As5	XI-adm	indx
IRIS_313-10361	IR_63295-AC_209-7	IR_63295-AC_209-7	Philippines	As5	XI-adm	indx
IRIS_313-10366	IR_65483-111-5-9-2-11	IR_65483-111-5-9-2-11	Philippines	As5	XI-adm	indx
IRIS_313-10371	IR_67518-B-11-1-B	IR_67518-B-11-1-B	Philippines	As5	XI-adm	indx
IRIS_313-10373	IR_68333-R-R-B-19	IR_68333-R-R-B-19	Philippines	As5	GJ-tmp	temp
IRIS_313-10374	IR_69502-6-SRN-3-UBN-1-B	IR_69502-6-SRN-3-UBN-1-B	Philippines	As5	XI-adm	indx
IRIS_313-10375	IR_70027-8-2-2-3-2	IR_70027-8-2-2-3-2	Philippines	As5	XI-adm	indx
IRIS_313-10379	IR_73688-57-2	IR_73688-57-2	Philippines	As5	GJ-tmp	temp
IRIS_313-10380	IR_73690-7-2-1-1-3-2-2-1	IR_73690-7-2-1-1-3-2-2-1	Philippines	As5	cA_(Aus)	aus
IRIS_313-10385	IR_75870-5-8-5-B-1	IR_75870-5-8-5-B-1	Philippines	As5	XI-1B	ind1B
IRIS_313-10392	IR_77390-1-6-4-19-1-B	IR_77390-1-6-4-19-1-B	Philippines	As5	XI-1B	ind1B
IRIS_313-10394	IR_80310-12-B-1-3-B	IR_80310-12-B-1-3-B	Philippines	As5	XI-adm	indx
IRIS_313-10396	IR_80340-23-B-12-6-B	IR_80340-23-B-12-6-B	Philippines	As5	XI-adm	indx
IRIS_313-10397	IRGA_318-11-6-9-2B	IRGA_318-11-6-9-2B	Colombia	Am	XI-1B	ind1B
IRIS_313-10398	IRGA_318-11-9-2A	IRGA_318-11-9-2A	Colombia	Am	XI-1B	ind1B
IRIS_313-10399	IRGA_346-111-2-1F	IRGA_346-111-2-1F	Colombia	Am	XI-adm	indx
IRIS_313-10400	IRGA_370-38-1-1F-C4-2	IRGA_370-38-1-1F-C4-2	Colombia	Am	XI-1B	ind1B
IRIS_313-10401	IRGA_370-42-1-1F-C-1	IRGA_370-42-1-1F-C-1	Colombia	Am	XI-1B	ind1B
IRIS_313-10402	IRGA_411-1-6-1F-A	IRGA_411-1-6-1F-A	Colombia	Am	XI-1B	ind1B
IRIS_313-10403	IRGA_659-1-2-2-2	IRGA_659-1-2-2-2	Colombia	Am	XI-adm	indx
